;object_name;chain;object_type;address;number;street;coord;district
7517;столовая при спортивно-педагогическом колледже;нет;столовая;город москва, кировоградская улица, дом 21, корпус 1;120;кировоградская улица;37.60178 55.601961;район Чертаново Южное
7532;kfc;да;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 87б;64;варшавское шоссе;37.620698 55.653644;Нагорный район
7533;макдоналдс;да;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 87б;64;варшавское шоссе;37.620698 55.653644;Нагорный район
7558;бургер кинг;да;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 153;40;варшавское шоссе;37.597163 55.577546;район Чертаново Южное
7559;макдоналдс;да;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 12а;102;каширское шоссе;37.628711 55.665782;район Нагатино-Садовники
7560;предприятие быстрого обслуживания «макдоналдс»;да;предприятие быстрого обслуживания;город москва, кировоградская улица, дом 9, корпус 4, строение 3;48;кировоградская улица;37.61318 55.622248;район Чертаново Северное
7561;макдоналдс;да;кафе;город москва, варшавское шоссе, дом 135б;95;варшавское шоссе;37.602885 55.596335;район Чертаново Южное
7563;ресторан «иль патио»;да;ресторан;город москва, варшавское шоссе, дом 97;110;варшавское шоссе;37.624247 55.633221;район Чертаново Северное
7564;предприятие быстрого обслуживания «макдоналдс»;да;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 97;46;варшавское шоссе;37.624247 55.633221;район Чертаново Северное
7565;предприятие быстрого обслуживания «kfc»;да;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 97;46;варшавское шоссе;37.624247 55.633221;район Чертаново Северное
7583;бар «ворд класс»;нет;бар;город москва, варшавское шоссе, дом 122а;28;варшавское шоссе;37.616521 55.629562;район Чертаново Северное
7584;кафе la carotte;нет;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 47, корпус 4;92;варшавское шоссе;37.630122 55.679133;район Нагатино-Садовники
7590;фгуп «мрти ран»;нет;столовая;город москва, варшавское шоссе, дом 132, сооружение 1;20;варшавское шоссе;37.612829 55.618867;район Чертаново Центральное
7592;предприятие быстрого обслуживания «бургер кинг»;да;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 95, корпус 1;54;варшавское шоссе;37.621938 55.640274;район Чертаново Северное
7593;предприятие быстрого обслуживания «ресторанный дворик»;нет;предприятие быстрого обслуживания;город москва, варшавское шоссе, дом 95, корпус 1;180;варшавское шоссе;37.621938 55.640274;район Чертаново Северное
7594;кафе;нет;кафе;город москва, варшавское шоссе, дом 95, корпус 1;46;варшавское шоссе;37.621938 55.640274;район Чертаново Северное
7595;кофейня «кофе хаус»;да;кафе;город москва, варшавское шоссе, дом 95, корпус 1;44;варшавское шоссе;37.621938 55.640274;район Чертаново Северное
7596;столовая «вижн»;нет;столовая;город москва, ленинский проспект, дом 15а;96;ленинский проспект;37.60072 55.720905;Донской район
7597;кафе «15 а»;нет;кафе;город москва, ленинский проспект, дом 15а;80;ленинский проспект;37.60072 55.720905;Донской район
7603;сапфир 1;нет;столовая;город москва, варшавское шоссе, дом 127;500;варшавское шоссе;37.616396 55.621206;район Чертаново Центральное
7605;fan zone;нет;закусочная;город москва, кировоградская улица, дом 24а;56;кировоградская улица;37.603118 55.612065;район Чертаново Центральное
7606;якитория;да;ресторан;город москва, кировоградская улица, дом 24а;60;кировоградская улица;37.603118 55.612065;район Чертаново Центральное
7614;караоке-бар loft;нет;бар;город москва, варшавское шоссе, дом 71, корпус 3;60;варшавское шоссе;37.62148 55.661059;Нагорный район
7636;буфет «мцби»;нет;буфет;город москва, варшавское шоссе, дом 118, корпус 1;0;варшавское шоссе;37.618022 55.631768;район Чертаново Северное
7653;кафе аюпов а.а.;нет;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 19, корпус 2;15;каширское шоссе;37.63464 55.664588;район Нагатино-Садовники
7654;кафе соболев о.м.;нет;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 19, корпус 2;5;каширское шоссе;37.63464 55.664588;район Нагатино-Садовники
7655;кафе «метиз»;нет;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 19, корпус 2;47;каширское шоссе;37.63464 55.664588;район Нагатино-Садовники
7656;кафе «оптима»;нет;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 19, корпус 2;5;каширское шоссе;37.63464 55.664588;район Нагатино-Садовники
7657;кафе;нет;предприятие быстрого обслуживания;город москва, каширское шоссе, дом 19, корпус 2;5;каширское шоссе;37.63464 55.664588;район Нагатино-Садовники
7675;додо пицца;да;кафе;город москва, варшавское шоссе, дом 152а;6;варшавское шоссе;37.59913 55.594611;район Чертаново Южное
