;object_name;chain;object_type;address;number;street;coords;district
2365;мнити;нет;столовая;город москва, гольяновская улица, дом 7а, строение 1;70;гольяновская улица;37.712012 55.774862;Басманный район
2369;школа 354;нет;столовая;город москва, лефортовский переулок, дом 8, строение 1;40;лефортовский переулок;37.677373 55.769732;Басманный район
2407;школа;нет;столовая;город москва, средний кондратьевский переулок, дом 8а;60;средний кондратьевский переулок;37.577939 55.772725;Пресненский район
2409;школа;нет;столовая;город москва, улица подвойского, дом 2;200;улица подвойского;37.536463 55.758939;Пресненский район
2430;кафе;нет;кафе;город москва, изваринская улица, дом 4, корпус 1;45;изваринская улица;37.251338 55.612863;район Внуково
2431;столовая;нет;столовая;город москва, дивизионная улица, дом 4;80;дивизионная улица;37.261831 55.611694;район Внуково
2451;столовая;нет;столовая;город москва, пулковская улица, дом 6;50;пулковская улица;37.487793 55.844935;Головинский район
2504;столовая школы 900;нет;столовая;город москва, 3-й дорожный проезд, дом 6а;240;3-й дорожный проезд;37.614806 55.599967;район Чертаново Южное
2518;ресторан «тэсти»;нет;предприятие быстрого обслуживания;город москва, кожевнический проезд, дом 4/5, строение 5;200;кожевнический проезд;37.644791 55.730482;район Замоскворечье
2528;оазис;нет;кафе;город москва, улица рокотова, дом 2а;80;улица рокотова;37.554906 55.612004;район Ясенево
2568;территория ясенево;да;ресторан;город москва, ясногорская улица, дом 2;200;ясногорская улица;37.536428 55.61027;район Ясенево
2609;гбоу школа № 626 структурное подразделение «ремизово»;нет;столовая;город москва, улица ремизова, дом 12;80;улица ремизова;37.601573 55.675306;район Котловка
2615;гбоудо «севастополец»;нет;столовая;город москва, большая юшуньская улица, дом 14;55;большая юшуньская улица;37.590452 55.64795;район Зюзино
2638;столовая;нет;столовая;город москва, солнечногорский проезд, дом 7а;184;солнечногорский проезд;37.52466 55.859165;Головинский район
2667;буфет в техникуме;нет;буфет;город москва, стандартная улица, дом 4а;60;стандартная улица;37.572351 55.882868;Алтуфьевский район
2679;столовая цо 1402;нет;столовая;город москва, 2-я сокольническая улица, дом 3;60;2-я сокольническая улица;37.683634 55.787928;район Сокольники
